report_date,symbol,Open,Close,High,Low,Volume
2010-02-09,SPY,107.13,107.22,108.15,106.27,337820500
2010-02-10,SPY,107.05,107.01,107.6,106.11,240511500
2010-02-11,SPY,106.87,108.13,108.25,106.25,223591600
2010-02-12,SPY,106.99,108.04,108.1,106.51,304622100
2010-02-16,SPY,108.86,109.74,109.85,107.82,159317500
2010-02-17,SPY,110.27,110.26,110.41,109.74,168845100
2010-02-18,SPY,110.08,110.91,111.14,110.04,193708600
2010-02-19,SPY,110.62,111.14,111.57,110.36,222684900
2010-02-22,SPY,111.55,111.16,111.58,110.83,132346900
2010-02-23,SPY,110.86,109.81,111.2,109.52,207497000
2010-02-24,SPY,110.14,110.82,111.0,109.86,176350700
2010-02-25,SPY,109.24,110.67,110.75,108.94,259634700
2010-02-26,SPY,110.77,110.74,111.12,110.11,173589300
2010-03-01,SPY,111.2,111.89,112.0,111.17,147709700
2010-03-02,SPY,112.37,112.2,112.74,112.0,160992400
2010-03-03,SPY,112.49,112.3,112.97,112.02,150785000
2010-03-04,SPY,112.45,112.64,112.8,112.03,135770400
2010-03-05,SPY,113.37,114.25,114.34,113.1,176118800
2010-03-08,SPY,114.26,114.27,114.52,114.07,114631200
2010-03-09,SPY,113.93,114.46,114.99,113.87,154556700
2010-03-10,SPY,114.51,114.97,115.28,114.41,186088800
2010-03-11,SPY,114.7,115.45,115.48,114.35,160791100
2010-03-12,SPY,115.95,115.46,115.97,115.14,162074800
2010-03-15,SPY,115.26,115.49,115.57,114.6,146816800
2010-03-16,SPY,115.81,116.41,116.52,115.49,168673000
2010-03-17,SPY,116.76,117.1,117.48,116.42,177468100
2010-03-18,SPY,117.11,117.04,117.27,116.57,196509100
2010-03-19,SPY,115.97,115.97,117.29,115.52,226641100
2010-03-22,SPY,115.31,116.59,116.8,115.24,184477800
2010-03-23,SPY,116.76,117.41,117.51,116.38,182941600
2010-03-24,SPY,116.97,116.84,117.43,115.58,196072600
2010-03-25,SPY,117.63,116.65,118.17,116.51,223396300
2010-03-26,SPY,116.87,116.58,117.42,116.12,205808500
2010-03-29,SPY,117.17,117.32,117.53,116.69,134513500
2010-03-30,SPY,117.46,117.4,117.83,116.91,145772500
2010-03-31,SPY,116.95,117.0,117.52,116.61,161078700
2010-04-01,SPY,117.8,117.8,118.25,117.1,161215200
2010-04-05,SPY,118.25,118.76,118.84,117.92,105847600
2010-04-06,SPY,118.42,119.04,119.25,118.29,110384200
2010-04-07,SPY,118.8,118.36,119.36,117.81,184576300
2010-04-08,SPY,117.95,118.77,118.97,117.6,158704000
2010-04-09,SPY,119.02,119.55,119.6,118.8,133006500
2010-04-12,SPY,119.7,119.74,120.05,119.56,110279000
2010-04-13,SPY,119.62,119.83,120.04,119.0,125043600
2010-04-14,SPY,120.27,121.19,121.19,120.08,161609000
2010-04-15,SPY,120.99,121.29,121.57,120.95,144615300
2010-04-16,SPY,120.86,119.36,121.29,118.75,366786700
2010-04-19,SPY,119.01,119.81,119.93,118.47,217947800
2010-04-20,SPY,120.56,120.88,120.98,119.87,157708000
2010-04-21,SPY,120.95,120.66,121.23,119.99,192910100
2010-04-22,SPY,119.81,121.02,121.17,119.12,115360300
2010-04-23,SPY,120.94,121.81,121.86,120.63,177335500
2010-04-26,SPY,121.85,121.35,122.12,121.23,143457300
2010-04-27,SPY,120.65,118.48,121.34,118.25,355853300
2010-04-28,SPY,119.05,119.38,119.68,118.27,300674100
2010-04-29,SPY,120.1,120.86,121.11,120.07,193775000
2010-04-30,SPY,120.88,118.81,121.01,118.78,270000900
2010-05-03,SPY,119.38,120.35,120.68,119.2,182747900
2010-05-04,SPY,119.01,117.52,119.03,116.92,360353400
2010-05-05,SPY,116.56,116.82,117.8,115.97,328973200
2010-05-06,SPY,116.26,112.94,117.0,105.0,647356600
2010-05-07,SPY,112.64,111.26,113.77,109.41,637558800
2010-05-10,SPY,115.81,116.16,116.65,114.91,396159600
2010-05-11,SPY,115.07,115.83,117.36,114.91,317849800
2010-05-12,SPY,116.29,117.45,117.62,116.09,235607100
2010-05-13,SPY,117.13,115.99,117.68,115.89,234452500
2010-05-14,SPY,115.12,113.89,115.33,112.87,345601400
2010-05-17,SPY,114.2,113.95,114.52,111.77,325739800
2010-05-18,SPY,114.88,112.4,115.22,112.03,360556800
2010-05-19,SPY,111.77,111.76,112.77,110.36,394742700
2010-05-20,SPY,109.38,107.54,109.89,107.47,530418300
2010-05-21,SPY,105.91,109.11,109.38,105.36,500909400
2010-05-24,SPY,108.52,107.71,109.39,107.61,269823000
2010-05-25,SPY,105.11,107.82,107.87,104.38,396505200
2010-05-26,SPY,108.48,107.17,109.47,106.85,349719300
2010-05-27,SPY,109.19,110.76,110.8,108.78,300870500
2010-05-28,SPY,110.64,109.37,110.72,108.85,297933500
2010-06-01,SPY,108.35,107.53,109.95,107.37,277909400
2010-06-02,SPY,108.08,110.33,110.34,107.51,240243700
2010-06-03,SPY,110.65,110.71,111.06,109.58,226618300
2010-06-04,SPY,108.61,106.82,109.33,106.46,398475600
2010-06-07,SPY,107.2,105.49,107.61,105.41,264609100
2010-06-08,SPY,105.57,106.62,106.83,104.65,357774300
2010-06-09,SPY,107.24,106.05,108.28,105.6,268023300
2010-06-10,SPY,107.86,109.15,109.28,106.04,317890600
2010-06-11,SPY,108.19,109.68,109.75,108.12,214128200
2010-06-14,SPY,110.52,109.51,111.12,109.4,207196100
2010-06-15,SPY,110.28,112.0,112.1,110.09,238268700
2010-06-16,SPY,111.42,111.96,112.42,111.2,216374000
2010-06-17,SPY,112.28,112.14,112.33,111.05,263185800
2010-06-18,SPY,111.83,111.73,112.13,111.37,174006600
2010-06-21,SPY,113.12,111.41,113.2,110.79,213140700
2010-06-22,SPY,111.41,109.57,111.9,109.41,239355400
2010-06-23,SPY,109.64,109.23,110.03,108.48,254639900
2010-06-24,SPY,108.69,107.42,108.83,107.14,268523600
2010-06-25,SPY,107.74,107.87,108.42,106.77,238726500
2010-06-28,SPY,108.03,107.53,108.32,107.14,169218600
2010-06-29,SPY,106.02,104.21,107.51,103.55,373649500
2010-06-30,SPY,103.92,103.22,104.88,102.88,284101700
2010-07-01,SPY,103.15,102.76,103.49,101.13,382924800
2010-07-02,SPY,103.11,102.2,103.42,101.62,233385200
2010-07-06,SPY,103.64,102.87,104.37,101.88,256935300
2010-07-07,SPY,103.13,106.11,106.24,103.02,253769400
2010-07-08,SPY,107.0,107.16,107.28,105.91,210842100
2010-07-09,SPY,107.13,107.96,107.97,106.93,144999900
2010-07-12,SPY,107.6,108.03,108.24,107.15,131283600
